#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
99|1|DAI ubiVault|0xdf5110EF6bc751cBaf76D35B8A3f312b581B5173|0x137f79e5a16BcF14d6a54d1d4CEdB00B8CE65838|StrategyUbiDAI||0|0|0|1|0|0|0|32768|Green|27881.70|99972118.30|3872.58|100049156.15
100|1|crvRenWBTC yVault|0x3149950258FbBcE1638d6C23ac93A692604Ef864|0xAA354088f930D32B8aAA94a1cB13fA0dEAf4482E|StrategyCurveRenWBTCVoterProxy||2|4|2|1|1|1|3|2283832355|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
101|1|Curve 3Crypto Factory yVault|0x8078198Fc424986ae89Ce4a910Fc109587b6aBF3|0x9D7CD0041ABd91f281E282Db3fba7A9Db9E4cC8b|StrategyCurveBoostedFactory-crv3crypto|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
102|1|Curve CVX-ETH Factory yVault|0x75A291F0232ADD37d72Dd1Dcff55B715755ECDEe|0x8D7686Dfca05a555c1E692C6dF79DFFaF188FD45|StrategyCurveBoostedFactory-crvCVXETH|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
103|1|Curve MIM Factory yVault|0xa540744DEDBDA9eF64cf753F0E851EfE4a419EA9|0x9430A2501e5f2Cd66741375baAbB9576E8FB5f48|StrategyCurveBoostedFactory-MIM-3LP3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
104|1|Curve cbETH Factory yVault|0xF614d3864EF53510909a94c618a5EC1Ff75103BF|0x9BD0D6C7a1f770d513dD9b7dde45e56c8ed81002|StrategyCurveBoostedFactory-cbETH/ETH-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
105|1|Curve FRAXBP Factory yVault|0x1A5ebfF0E881Aec34837845e4D0EB430a1B4b737|0x14D87ae97c19Ca4A4D7B5EedF45F1016328116c2|StrategyConvexFraxFactory-crvFRAX|Convex Frax Reinvest|5|2|2|1|2|1|3|5437949987|Green|569736.99|49430263.01|104644.57|49737491.49
106|1|Curve FRAXBP Factory yVault|0x1A5ebfF0E881Aec34837845e4D0EB430a1B4b737|0x3b1a64058020954a74550271eA6b0aD2019EF806|StrategyCurveBoostedFactory-crvFRAX|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
107|1|Curve stETH Factory yVault|0x5B8C556B8b2a78696F0B9B830B3d67623122E270|0xaBec96AC9CdC6863446657431DD32F73445E80b1|StrategyCurveBoostedFactory-steCRV|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
108|1|Curve agEUR-EUROC Factory yVault|0x321d570790fd2f109Fe4e55aa419Adf2fce0c842|0xE1c43Cee52dd10543622E429516194F818efc390|StrategyCurveBoostedFactory-agEUREUROC-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
109|1|Curve LUSD Factory yVault|0xAd86Df2e8F989c828B25A7Da5EB1Ec363283fA3F|0xB73fa254f47cE89Af8B7fC9919C38D62F12bbb5B|StrategyCurveBoostedFactory-LUSD3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
110|1|Curve ibEUR Factory yVault|0xD347e7A3DdF5Ce4C42E19a4F30eEAA761795C72B|0x837963994Ff184143e4D448E6Fc685d92Cee639B|StrategyCurveBoostedFactory-ibEUR+sEUR-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
111|1|Curve sUSD Factory yVault|0x5b2384D566D2E4a0b29B8eccB642C63199cd393c|0x83D0458e627cFD7C6d0da12a1223bd168e1c8B64|StrategyCurveBoostedFactory-crvPlain3andSUSD|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
112|1|Curve GEAR-ETH Factory yVault|0x04c8bfe2eb09a1e2e9fA97A2fd970E06d87B43de|0xccb0da3E219dE478A0975599d9c362E724A6DfF9|StrategyCurveBoostedFactory-crvGEARETH-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
